team,captain,last_season,old_team,old_division,returningPlayers,returningPlayersDiv,newPlayers,compLevel,divisionPlacement,priorPlacement,otherLeagues,otherInfo,coast,player_count,avg_rank_top_four,rank_1,rank_2,rank_3,rank_4,rank_5,all_ranks,avg_mmr_top_four,max_mmr,mean_mmr,min_mmr,all_mmr,all_level,season_11_div,wins,losses,points,dominations,matchesPlayed,deviation,teamChanges,returning_players,dropped_players,added_players
Skeleton Shenanigans,AtomicAlien#5771,yes,Silverspy and QTPuppy were in Bork Side of the Moon and JTrinja was in Flying Solo,"Silverspy and QTPuppy were Div C, Jtrinja was Div E West","SilverSpy, QTPuppy, JTrinja","C, C, E","JTrinja, Silverspy, QTPuppy",Balance winning with fun,Not sure,Div E in 2021 for Melkor and AtomicAlien,We have played in Nexomania,,west,6,14.5,D4,P1,G1,B5,U0,"D4, P1, G1, B5, U0, Uundefined",2683.75, , , ,"2834, 2764, 2698, 2439, 2341, 2284","22, 20, 15, 1, 0, 0",new team,,,,,,,"Shad0wLuigi, Trench, and ArcticFox are no longer in the team",,,
:fensad:,Ryglors#2267,yes,:fensad:,Div B,4,B,2,Balance winning with fun,B East,Very solid,nah,nah,east,6,20.25,D2,D4,P2,P5,G5,"D2, D4, P2, P5, G5, S1",2860.5, , , ,"2962, 2892, 2796, 2792, 2632, 2485","24, 22, 19, 16, 11, 10",b-west,16,10,21,5,11,0.5653175489346045,"If anything, we are now weaker after losing our best player","GrrzMoore#1315, Ruglord#11523, Psyqo#1167","RobotWizard#1351, Charlemagne#11519, JazzyVal#1871","JazzyFast#1603(S1), CWEnder#1897(P2), Hirobi#1795(D4)"
Bi for Catbois,SaylorTwift#0215,no,,,,,,Balance winning with fun,,,"We have played in div B and it was fun, div A was a little too difficult at the time",,east,7,19.75,D3,D5,P3,P4,P5,"D3, D5, P3, P4, P5, U0, U0",2876.5, , , ,"2925, 2903, 2885, 2793, 2763, 2721, 2688","23, 21, 18, 17, 16, 0, 0",new team,,,,,,,,,,
The Seven Rings,AvenaQuaker#3252,yes,The Seven RIngs,Heroic,All,Heroic,No New Players,Balance winning with fun,Heroic,Good,Just NGS,Not Really,west,5,26.5,GM,GM,M165,M1539,M202,"GM, GM, M165, M1539, M202",3084, , , ,"3161, 3110, 3047, 3018, 2900","27, 27, 26, 26, 26",heroic,21,6,29,8,12,1.0806864539165983,No Changes,"ivIwAwIvi#1586, AvenaQuaker#11401, RootBeerGuy#1706, Cyrus#1974, Mejicano69#1388",,
ICC TBD,Chauncy#7131,yes,ICC TBD,C,5,C,3,Balance winning with fun,C EAST,"It was good. Our best player, Hippo, is moving to sub only due to real life. So, that probably knocks us down a peg. All current new players were in C. So C is best.",,"We have to be EAST. If our team is places in west again, we will have to withdraw. ",east,8,21.5,D1,D4,P1,P2,P4,"D1, D4, P1, P2, P4, P5, P5, G5",2854.75, , , ,"2867, 2865, 2844, 2843, 2768, 2763, 2742, 2695","25, 22, 20, 19, 17, 16, 16, 11",c-west,22,3,32,10,12,1.403292830891247,Current new rostered players were C,"Stormsword#11487, HippoXXX#1609, GreekFire#11101, Thisguy#1820, Chauncy#1969","Serelath#11574, Nova#110427, Valkrye#11330","MJDoom#1348(P5), Phantoms#11705(P5), RabidPenguin#1868(P4)"
All Random All Middle-Aged,ModusTrollen#2705,yes,ARAM,Div D West,5,Div D,,Balance winning with fun,Div C,"We had a losing streak at the end of the season, but in the first half of the season and playoffs we felt like we had the edge on most teams.",,We've been in Div C once before (with 3 of the same players as we have now) and struggled. We want another chance to play harder opponents and step up our game.,east,5,14.25,P4,G1,G3,G4,G4,"P4, G1, G3, G4, G4",2725.5, , , ,"2761, 2745, 2702, 2694, 2659","17, 15, 13, 12, 12",d-west,15,8,20,5,10,0.5345224838248488,"We are looking for one new player to fill in for one person who only wants to sub, but haven't found them yet","souza#1841, popnfresh#1951, ModusTrollen#1882, MuffinMan#12356, Barber#1144",,
Hard Stuck Support Group,RndmEngineer#8388,yes,Hard Stuck Support Group,Div C East,4,Div C,"HeathenDawn#1576, KillerViper#1263, Gunnzer#1487",Balance winning with fun,Div C,"Div C, it was good for us",,,east,9,15,P4,P4,G2,G4,S1,"P4, P4, G2, G4, S1, S1, U0, U0, U0",2743, , , ,"2761, 2754, 2750, 2707, 2677, 2670, 2609, 2498, 2470","17, 17, 14, 12, 10, 10, 0, 0, 0",c-east,12,13,16,4,11,-0.2519763153394848,"New players haven't played competitive before, a couple mainly played quick match","RndmEngineer#1403, NatureBoy#11450, Syl#12651, SmackLoud#1757, cactipus#1355, OmarG#1399",AlixGx#1722,"HeathenDawn#1576(U0), Gunnzer#1487(U0), KillerViper#1263(U0)"
Gambit Gaming,Krizzoh#3553,yes,Gambit Gaming,B West,5,B West,,Balance winning with fun,B,Great,No,,west,6,18.5,P1,P2,P3,P4,G1,"P1, P2, P3, P4, G1, U0",2877.25, , , ,"2922, 2903, 2884, 2800, 2746, 2663","20, 19, 18, 17, 15, 0",b-west,20,6,27,7,11,1.3190742808474105,,"GGKrizzoh#1978, Perlsimon#1472, Salsero#11343, NorthrnTouch#1343, chelsi#11542",TrollinRYNO#1198,Raymond#12866(U0)
Cho'gall's Angels,Traxex #9930,no,Cho'gall's Angels,A,For main roster 2 and 4 as subs,A,"Snarfungus, MiniKen, and xRodney",Very Competitive,Nexus Or Heroic,I feel we were competitive last season.,We did road to Nexo and won Div 2,,east,6,23.75,GM,D3,D3,D4,D4,"GM, D3, D3, D4, D4, D5",2953.75, , , ,"3078, 2950, 2900, 2887, 2814, 2775","27, 23, 23, 22, 22, 21",new team,,,,,,,"I feel this will raise our teams skill level. Ken was in Heroic, Rodney is a masters.",,,
Citrus Colored Squash,Mesos#4309,yes,Citrus Colored Squash,Div B East,6,Div B east,n/a,Balance winning with fun,Div A,Based on past iterations of the team i think our placement was fair for us. During the season we weren't really challenged until the grand finals,"pretty competitive, Div A or higher ",i think Div A seems fair for us,east,7,24,M2444,D1,D3,D4,P2,"M2444, D1, D3, D4, P2, G1, G3",2887.75, , , ,"3050, 2885, 2829, 2787, 2772, 2714, 2618","26, 25, 23, 22, 19, 15, 13",b-east,20,2,28,8,10,2.1666666666666665,n/a,"Wolfe#11931, Mesos#11447, LaMort#11241, htlikesummer#1774, Ace#16230, Tee3cat#1517",STÖRMStoiC#1600,StoiC#12938(P2)
Best of Buddies,Blazing Moon#7326,no,,,,,,Less competitive more for fun,,,No,,east,6,21.25,M31,D1,P3,P5,U0,"M31, D1, P3, P5, U0, U0",2920.5, , , ,"3030, 2989, 2897, 2766, 2719, 2675","26, 25, 18, 16, 0, 0",new team,,,,,,,,,,
Cats On My Keyboard,olakakaloha#4470,yes,Cats On My Keyboard,Div B West,4,Div B West,Delta Sniper,Less competitive more for fun,Div B or Div C,We made playoffs (barely) and felt it was really competitive. It was like a 4 way tie to get into playoffs and everyone was close. ,,,west,6,21,M1110,P1,P1,P3,G1,"M1110, P1, P1, P3, G1, S3",2863.25, , , ,"2948, 2945, 2819, 2741, 2730, 2528","26, 20, 20, 18, 15, 8",b-west,11,15,14,3,11,-0.3140653049636692,We are also adding someone else who is Plat 2 but is out of town this weekend and couldn't accept the invite. ,"Ghost#14675, PjRedd#1927, Koala#11818, Apple#11465","EasyK#11683, Calm#1741","MacDaddyo#1766(P3), DeltaSniper#1914(M1110)"
PSISTORM Dragoons,ChaosPigeon#7609,yes,I didn't play,-,Yetiman zoomthenboom and Pinacolada,A and D,ChaosPigeon Cyan Muidar IceCreamLove,Less competitive more for fun,C ,Thought some teams got placed a lot higher than they should talked with 3 teams that either withdrew or only won 3 maps all season cause they were pushed up higher than they thought they could handle ,No,The two people we have returning from Div A ones team lost everything then disbanded half way through the season and the other only took 3 maps the whole season and we have two that played in div D. Pretty sure cyans last div was C and I don't know anything about icecreamlove's history ,east,7,19.25,D2,P1,P4,P5,G3,"D2, P1, P4, P5, G3, G4, S1",2788.25, , , ,"2931, 2808, 2711, 2703, 2646, 2643, 2611","24, 20, 17, 16, 13, 12, 10",new team,,,,,,,-,,,
Out of Pocket,OrcN'Beans#5681,yes,Out of Pocket,E East,5,5,,Balance winning with fun,F,Ok,Nope,Nope,east,5,6.25,G4,S5,B1,B4,B5,"G4, S5, B1, B4, B5",2484.75, , , ,"2669, 2524, 2429, 2317, 2253","12, 6, 5, 2, 1",e-east,9,20,13,4,14,-1.190784930203603,,"Kocky#1262, Innoculis#1912, vates#1396, Greatone#1919, Orcnbeans#1996",MrSlippers#1905,
Pepegas on Ice,Tomgen#7573,yes,Pepegas on Ice,Div A,8,Div A,1,Balance winning with fun,I think we will perform about the same as last season. High Div B or low Div A,"Our placement was good last season, we just didn't perform as well as we expected.","Nexomania Div 2, So far have been losing but its been competitive.",We have gone down to practicing twice a week and probably won't increase it unless we make the playoffs. So maybe not as competitive as last season.,east,9,22,M960,D3,D5,P3,P4,"M960, D3, D5, P3, P4, P4, G3, G3, U0",2949.5, , , ,"3061, 2933, 2920, 2884, 2796, 2755, 2738, 2733, 2587","26, 23, 21, 18, 17, 17, 13, 13, 0",a,11,18,13,2,12,-0.7134126819191869,4 main roster players returning for last season. New Healer.,"Raptor#12622, Torrens#11990, Mezoss#1698, Muaygor#1787, Tomgen#1267, BishopMist#1611, Sylphrenia#1173","Jakeyaz#1180, Riot#1981","Ectar#11304(D3), Creepio#11576(U0)"
AnarchY,TheJoker#6150,yes,Anarchy,B east,6,B East,,Less competitive more for fun,B East,Not bad.  We have a bronze 5 and I wish that were somehow accounted for.  ,"Div C West NGS, ",I play a Bronze 5 in a good bit of my games.  Is there any way to account for that?,east,6,20.25,D4,D5,D5,P4,P4,"D4, D5, D5, P4, P4, S5",2797.25, , , ,"2832, 2820, 2786, 2751, 2728, 2444","22, 21, 21, 17, 17, 6",b-east,9,14,12,3,10,-0.5,Removed xYun,"TheJoker#12433, Yurkoski#1454, hunterlust#1625, SSJGTRUNKS#1137, MJH#11446, ShadowDroid#11644",xYun#11584,
Cho N Gall Rescue Rangers,Anissa#8444,yes,Cho N Gall Rescue Rangers,C East,5,C East,,Balance winning with fun,"Most probably C East, or maybe B East","I think it worked out well! We were able to reach the finals this season, and got 7 dominations! It was very fun!","Some of us (Tazzak, frank and Hebrewhammer) have done NGS before. We have been, amongst us, in divisions B East, C East and D East. Our team has also done Nexomania this season and did well on it. The girls of the team (frank and Fadingcheshi) have both participated multiple times on GGS (Girl gank squad) which is a charity tournament with girl players.  ","Schedule and timezones wise, we all fit in EAST divisions. Other than that, I do not think there is anything particular in regards to NGS or general Heroes of the Storm tournaments that needs to be added. Our team members range, in Storm League, between mid gold and high plat. At least one of us has reached Diamond before, though it hasn't stayed that way due to rank decay. ",east,6,19,P1,P2,P2,P3,P3,"P1, P2, P2, P3, P3, P5",2795.25, , , ,"2817, 2809, 2792, 2763, 2752, 2663","20, 19, 19, 18, 18, 16",c-east,16,7,23,7,11,0.629940788348712,,"fadingCheshi#1862, SaberMoon#11839, HebrewHammer#12243, Emski#1375, Tazzak#1404, frank#11843",,
Dragon Gall Z,autumntheraven#8183,yes,Chogall Chocolate Factory,E first and D to towards the end.,1-Porthosss,E/D,"HelixtheCat, Soulnova, NoMoreHeroes, AmazinGinger, Calm",Balance winning with fun,"I think we belong in division E. We are a new group of people that have never played together and some of the new members are new to competing in NGS all together. I do think that we could potentially move to D if we can earn that upgrade. I""m honestly just not sure that we can handle it just yet.","The competitive experience  was initially great! Unfortunately our team fell apart after we were moved to Division D. It was very challenging then because we were adding new people, synergy was off.",I think we did nexomania and road to nexomanis last year in Div E?,,east,7,10.25,G3,G5,S2,S3,S3,"G3, G5, S2, S3, S3, S4, S5",2573.25, , , ,"2610, 2573, 2569, 2541, 2522, 2488, 2408","13, 11, 9, 8, 8, 7, 6",new team,,,,,,,"Ranks are pretty similar to last year, but I think the synergy and personalities are much more compatible.",,,
smoke,rageface#4321,no,,,,,,Balance winning with fun,,,,div e east 2 seasons ago ,east,7,18.5,D4,P2,P4,P5,G2,"D4, P2, P4, P5, G2, S4, U0",2784.25, , , ,"2851, 2819, 2773, 2694, 2623, 2566, 2557","22, 19, 17, 16, 14, 7, 0",new team,,,,,,,,,,
Red Dragons,Lifscuetorya#4678,yes,Red Dragons,B,4,C,Valkrye#11330,Balance winning with fun,High C or low B,"Most of our issues with the last season were roster-related, not placement-related. After our highest-ranked player left, it was difficult to keep up with other teams in the division.","RCL 2nd season, a few Nexomanias. Nexomanias were competitive until the last few matches, whereupon teams forfeited due to scheduling difficulties.",,east,5,16.75,P3,P4,P4,G1,G3,"P3, P4, P4, G1, G3",2691.75, , , ,"2769, 2728, 2641, 2629, 2543","18, 17, 17, 15, 13",b-east,10,12,13,3,10,-0.3333333333333333,,"Lifscuetorya#1335, Pandaemonium#1203, Dizzy#1183, Jacobia#1538","Avernus#11859, ForSaikeN#11569",Valkrye#11330(P4)
LTK - We Hate OBJ,PenguinEpidemic#3595,yes,LTK - We Hate OBJ,Division D,3,Division D,2,Balance winning with fun,,,,,west,7,15.5,P4,G1,G1,G1,G3,"P4, G1, G1, G1, G3, G5, S3",2729.5, , , ,"2780, 2718, 2718, 2702, 2659, 2644, 2624","17, 15, 15, 15, 13, 11, 8",d-east,16,9,20,4,10,0.6646022216891883,,"Vicar#1189, Bodiddly#1106, LastMalkier#1516, Bowserking#11311, jaydik#1693",zoomthenboom#1452,"StrikerKilla#1963(G3), Jakuval#1480(S3)"
Heavy Greg,Farfanewgan#5649,yes,Heavy Greg,C east,7,C East,,Balance winning with fun,C east,"We had a rough season due to everyone's schedules, but that should be lined out now.",n/a,,east,8,19.75,D4,D5,P2,P4,P5,"D4, D5, P2, P4, P5, G1, S1, S2",2794.25, , , ,"2862, 2815, 2765, 2735, 2714, 2702, 2629, 2603","22, 21, 19, 17, 16, 15, 10, 9",c-east,9,16,11,2,11,-0.8819171036881969,,"ClimbableUnc#1574, ChimChim19#1227, sYnThEsIs#1401, FARFANEWGAN#1582, Korosive#1810, RandiNuMan#1734, Snek#11675",,Syth#1970(P4)
Collecting Countless Stars,Kath#8407,yes,Collecting Countless Stars,D West,3,D West,"BluddyDrapes, Keladorn, exterx",Balance winning with fun,D West,We made it to the first round of playoffs after having a rough beginning of the season,"NEXO, lower divs",,west,6,12.75,P3,G3,G3,S4,S5,"P3, G3, G3, S4, S5, B5",2663.75, , , ,"2744, 2707, 2662, 2542, 2468, 2464","18, 13, 13, 7, 6, 1",d-west,12,12,15,3,10,-0.8017837257372732,"about the same, but maybe a little better","DjangoUnchnd#1876, Kathazia#1568, dmn13#1552","Peldor#1697, ZhangMachine#1192","BluddyDrapes#1110(S5), Keladorn#1935(S4), exterx#1857(B5)"
Community Pizza,GerudoKing#2735,yes,Community Pizza,E West,5,E West,,Very Competitive,E,Fine,No,No,west,6,14.25,D2,G2,G5,S3,B1,"D2, G2, G5, S3, B1, B3",2619.75, , , ,"2716, 2675, 2564, 2524, 2491, 2456","24, 14, 11, 8, 5, 3",e-west,18,12,22,4,12,0.134110445196455,,"Bayonett#1411, drkrize#1539, pad0#1827, shane9110#1249, GerudoKing#1542",Kastuj#1356,NightKnight#11824(G5)
Flying Solo,Kaden303#4560,yes,Flying Solo,E West,"ShyHeartyDK, JudoChop, Kaden303, SecretSwyft, Willow",E West,"Chocolator, Lienheart",Less competitive more for fun,E. I do not want the new players to offset our last placement since we placed in the bottom half of the table last split,"Despite being in a lower division, E West was very competitive last split. We had a lot of good experiences playing against Phoenix Rising in particular.","We played Nexomania (operated by CCS) before the last NGS season. While we enjoyed it, our opponents were higher than us in rank/experience.",Our team does not want to be promoted to div D. We had a terrible experience when playing against Shogun in the past and our team desperately wants to avoid him in NGS matches if possible.,east,7,16,P2,P4,G1,G3,S1,"P2, P4, G1, G3, S1, S5, B5",2662.5, , , ,"2703, 2670, 2646, 2631, 2563, 2527, 2287","19, 17, 15, 13, 10, 6, 1",e-west,9,18,12,3,12,-1.2069940067680953,"Players are higher ranked, but doesn't change anything","SecretSwyft#1738, ShyheartyDK#2560, Kaden303#1693, Willow#12477",JudoChop#11382,"Lumi#11427(G3), Lienhart#2883(P2), Chocolatdor#1383(P4)"
Start Slow Then Taper Off,ZeroDayAttak#4924,yes,Start Slow Then Taper Off,Div C,7,7,None,Balance winning with fun,Division B,"Placed well. we were in Div D the season before, then we moved up to Div C","Yes. We played in Road to Nexomania, Nexomania, RCL, XGDI",None,east,7,18.5,D3,P2,P3,G2,G2,"D3, P2, P3, G2, G2, G3, S3",0, , , ,", , , , , , 2861","23, 19, 18, 14, 14, 13, 8",c-east,21,3,30,9,11,1.5118578920369088,None,"ZeroDayAttak#1211, oppie#11152, Xenochrist#1193, RealBigDill#1816, Arlew#1769, Fenrir#1406, MiniTotoro#11843",,
Nexus Retirement Angle,Justincase#1227,yes,Nexus Retirement Angle,Heroic,7/8,Heroic,Robotwizard,Very Competitive,Heroic,Placement was correct last season,No,"Qualified for storm, but no storm :(",east,6,27,GM,GM,GM,GM,M5956,"GM, GM, GM, GM, M5956, D3",3071.25, , , ,"3120, 3060, 3055, 3050, 3039, 2820","27, 27, 27, 27, 26, 23",heroic,20,8,27,7,12,0.8105148404374488,Same as team,"LUJustincase#1875, AOERules#1634, Raevar#1439, C10vurhd1#1416, DHVivanchey#1106","DHBob#11355, RetiredRBGer#1304, jagermeister#1916, Jacoshlu#1342",RobotWizard#1351(GM)
The Bunker Crew,sarge#6539,yes,The Bunker Crew,"Division E, East",2,Division E,"Hendrix#11169,Maxxpower22#1214,Mendacious#11292 ,Jaannyy#2551,Xorcist#1130",Very Competitive,division E,"Placement was fine, the league was competitive",none other,,either,6,6.25,S2,S3,S5,B4,B5,"S2, S3, S5, B4, B5, B5",2512.75, , , ,"2572, 2506, 2487, 2486, 2442, 2431","9, 8, 6, 2, 1, 1",e-east,7,24,9,2,14,-1.6237976320958225,,"Nycken#1485, Hendrix#11169, sarge#1892","exterx#1857, Maxxpower22#1214, Mendacious#11292, Jaannyy#2551","CodeySparkz#1451(B5), Everheart#11689(S2), JudoChop#11382(B5)"
Unity,hqawaii#9027,yes,ICC Unity,Div B,3,Div B,1,Very Competitive,Div B or Div A,4/5 We made it to semi-finals in Div B and had a challenging experience against the teams. We're hoping to make it this time to the finals!,Nexomania - we didn't play at a highly competitive level as we were looking for teammates mostly and trying to figure out team dynamics. ,N/A,east,6,25.25,M4061,M3068,D1,D2,D3,"M4061, M3068, D1, D2, D3, U0",3079, , , ,"3321, 3037, 2980, 2978, 2869, 2817","26, 26, 25, 24, 23, 0",new team,,,,,,,N/A,,,
CM Daybreak,Rackham#4955,yes,CM Daybreak,B West,"Rackham, Wenis, Aaron, EmVP, Aura","Gold 4, Plat 5, Diamond 4, Plat 2, Plat 4",TempestJet,Balance winning with fun,I think we are borderline B/C.  ,"Good experience, I think the placement committee got it right.  The one team that finished above everyone was the one with the master player, but what you gonna do, no complaints from us.","Nope, NGS only for us.","We lost Tiger, our highest-ranked DPS, and had to do some role swapping because of it.  I think we'd be very competitive in C, maybe not so much in B.  Also, we were WEST coast last season, we would like to go EAST coast if possible this season.",east,6,19.75,D4,P1,P1,P4,P5,"D4, P1, P1, P4, P5, G4",2824.75, , , ,"2935, 2809, 2805, 2750, 2704, 2611","22, 20, 20, 17, 16, 12",b-west,12,15,14,2,11,-0.3140653049636692,,"aaron#12738, Aura#1724, Rackham#1819, WENlS#11638","Emtinoh#1609, rainbow#1317","TempestJet#11794(P4), EmVP#1269(P1)"
Bananumnums,icon#3295,yes,Banananumnums,D,2,D,"Godfred, infinitymeme, icon, whitemain, Moskau",Balance winning with fun,we were middle of the pack in Div D i think D is a good spot for us.,it felt fair and some of the best match quality we had ever played,Road To Nexomania Div 4(E equivalent) we got to the championships.,We just want fair matches not where we get stomped or do the stomping that's why we are hesitant to say Div C cause some of our highest mmr players are subs.,either,9,15.5,D4,P4,P5,S4,S4,"D4, P4, P5, S4, S4, B3, B3, U0, U0",2881, , , ,"3027, 2897, 2814, 2786, 2586, 2560, 2514, 2510, 2510","22, 17, 16, 7, 7, 3, 3, 0, 0",d-east,14,10,18,4,10,0.39876133301351296,lost alot of people due to scheduling issues,"CodeMonkey#11502, Beefsquatch#11768, Icon#11669, rxgMaverick#1242","breticles#1282, Aieeeǃ#1679, DeathUnbound#1813, burner7echo#1275, GrooveChamp#1197","Godfred#1609(U0), FeintToAccel#1328(P5), infinitymeme#1749(D4), Whitemain#11297(U0), MisterMoskau#11805(P4)"
Pidge's Perilous Pidgeons,,yes,Pidge's Perilous Pidgeons,Division A,6,A,"Bellers, SweetLucy",Balance winning with fun,Division A,It felt right,,,either,8,24.75,M2797,M660,D1,D4,D4,"M2797, M660, D1, D4, D4, P1, P3, U0",2905.25, , , ,"2996, 2880, 2876, 2869, 2704, 2681, 2657, 2628","26, 26, 25, 22, 22, 20, 18, 0",a,17,11,23,6,12,0.4280476091515122,,"MistahCraig#1109, MotherKos#1641, Merius#1263, Cratebeast#1616, pidge#1548, Icymorning#11164","Epicloud#11752, Decemate#1385","Bellers#1283(U0), SweetLucy#11833(M2797)"
BG Nepotism and Corruption,Mcgibblets#1558,yes,BG GuWutine,A,5,A and a C player,KingAndrew,Balance winning with fun,Division A ,i think it was perfect anyone of the teams in playoffs could have won very balanced,,we lost Daddy Woahno the heart of the team ,east,7,23.75,M1700,D1,D3,D5,P1,"M1700, D1, D3, D5, P1, P1, U0",2991.5, , , ,"3076, 3026, 3008, 2856, 2785, 2782, 2777","26, 25, 23, 21, 20, 20, 0",new team,,,,,,,,,,
Hot(s) Dads,KING#7773,yes,Hots Dads,D East,"Ratbasstoad, KING, Elial",D,"Boteu, Kakarot",Balance winning with fun,D East,We did well in the main season and finished top 3 in Div D East,No,Some of the new players were in Div D as well.,east,5,13,P5,G2,G4,S1,S1,"P5, G2, G4, S1, S1",2703, , , ,"2737, 2714, 2692, 2669, 2662","16, 14, 12, 10, 10",d-east,17,7,22,5,10,0.9304431103648635,,"codenamezero#1455, Elial#1657, KING#17763, RatBassToad#1511","QBall162#1442, BirdFlu#1820, PalmBall#1411",Boteu#1810(G4)
Rodney's Imaginary Friends,Snarfungus#4444,yes,Rodney's Imaginary Friends,Heroic,5,Heroic,Azmochad,Balance winning with fun,Heroic,We felt right at home in heroic div! ,,,either,7,26,M2892,M1433,M1211,M4800,D1,"M2892, M1433, M1211, M4800, D1, D1, D3",3077.25, , , ,"3137, 3102, 3074, 2996, 2960, 2928, 2923","26, 26, 26, 26, 25, 25, 23",heroic,17,9,24,7,12,0.4052574202187244,no skill changes,"MundaneZebra#11630, Drincho#1610, Snarfungus#1738, Eragonas#2447, Breakwood#11897, Rodney77x#1837",,Azmochad#1122(D3)
Kentucky Fried Falstad,Conflicted#5487,yes,Briefly was sub for Maximum Thrust and previously on Council of War,Div D,5 so far,From various seasons returning.. from Div C-D,MagicTurtle#1147142,Balance winning with fun,Div D would likely be best fit as we are a new team with some first time ngs players as well.,"Prior placements have seemed generally decent.  I can only speak for div C and D, but there are always teams placed in each that should have been in the other.  I didn't play with Council of War in this past season, but 2 of my roster did and I think Council of War was misplaced in Div C.  They would have been more competitive and comfortable in div D. ","We played in the Road to Nexomania in group 4 against the Div C champs from last season, a middle of the pack Div B and a top 3 Div C team.  We lost all 3 matches.  Given time we could compete with that level, but not there quite yet.","As a new team, it will take us some time to mesh together and become the team that some of our SL ranks suggest.",east,7,17.25,P2,P3,P5,P5,G1,"P2, P3, P5, P5, G1, G3, G3",2771, , , ,"2814, 2769, 2762, 2739, 2732, 2692, 2682","19, 18, 16, 16, 15, 13, 13",new team,,,,,,,it's a new team,,,
RageAgainstTheGame eSports,Nemesiis#0830,yes,Midnight of Mummies,Div B,1,Div B,0,Very Competitive,Div C or Div D,"I joined my team after placements, This current team all played together in season 14 in Div D, felt like that placement was right by the end of the season",We have played CCS league together,"All 5 players have been playing together as a team since season 13. Season 13 - DIV E, Season 14 - Div D, Season 15 Nemesiis played on a Div B team. Rest of team did not compete.",east,5,12.75,P3,G4,G5,S1,S1,"P3, G4, G5, S1, S1",2669, , , ,"2791, 2669, 2618, 2598, 2542","18, 12, 11, 10, 10",new team,,,,,,,,,,
Rainbow Shrooms,Howlinknight#9337,yes,TRSG Shrooms,div d,demongrand,div d,"SlvsterChung, Vegeta, Kizo",Balance winning with fun,Div D or Div E,Competitive placement; my team had interpersonal things that affected us halfway through. ,No. ,Just that one of our players is new to this game particularly. ,west,5,9.25,G5,G5,S2,S5,U0,"G5, G5, S2, S5, U0",2584.5, , , ,"2663, 2651, 2622, 2402, 2131","11, 11, 9, 6, 0",new team,,,,,,,Basically a completely new roster just put together for this season. Kizo is brand new to HotS coming from LoL.  ,,,
Sands of Time,Ice Queen#1099,yes,ICC Unity,Div B,2,Div C,Bonez and ITCowboy,Very Competitive,Div C,"I feel like placements have been fair in NGS. No complaints. I play super competitively so Div B was super fun to be in, but I am at a gold skill level so I feel like Div C is a better fit","Yes, we have played in Div E and D and separately on different teams we played Div C and B",Not really. I believe our team should be in Div C based on MMR and skill level in general,west,5,18,D5,P3,P4,P5,G4,"D5, P3, P4, P5, G4",2797.25, , , ,"2873, 2847, 2756, 2713, 2586","21, 18, 17, 16, 12",new team,,,,,,,I think these additions will land us in Div C,,,
30 to 50 Feral Hoggers,RandomTask#6784,no,,,,,,Balance winning with fun,,,Our team members have played in div B and A at a relatively competitive lvl,,east,7,19.25,D4,P2,P3,P3,P3,"D4, P2, P3, P3, P3, P4, G2",2809, , , ,"2855, 2855, 2768, 2758, 2748, 2745, 2655","22, 19, 18, 18, 18, 17, 14",new team,,,,,,,,,,
ReGen Immortal,Kurama#5326,yes,ReGen Nebula,Division C East,"Kurama, Murda",Division C East,"Eirikr, Austin, Rift, UrbanPunk",Very Competitive,"Division B or C, but most likely B. ","Placement was spot on last season, very competitive Division. ","This team has not played in other competitions; however, all of us as individuals have multiple seasons of experience in NGS on different teams. This is the first time we are playing together. ","Myself, Rift, and Austin all have multiple seasons of experience ranging from Div D-B. I subbed in Div A my very first season of NGS. Eirikr has expierence in Divisions B - Storm. UrbanPunk has experience in Divisions C and Below. I feel our best overall fit would be Division B.  ",east,6,20.25,M661,D2,P4,G2,G4,"M661, D2, P4, G2, G4, S1",2860, , , ,"2977, 2918, 2797, 2748, 2711, 2666","26, 24, 17, 14, 12, 10",new team,,,,,,,Murda is substitute. ,,,
Yolo Diving You,Arby#0148,yes,FC Hot Chicken,B East,1,B East,All players except me,Very Competitive,Heroic or Nexus,Let's not talk about last season. It was terrible lol,We won the Group 1 Road to Nexomania recently ,,east,6,26.25,GM,M3941,M6723,M2658,M2935,"GM, M3941, M6723, M2658, M2935, U0",3194.5, , , ,"3317, 3176, 3163, 3122, 2955, 2948","27, 26, 26, 26, 26, 0",new team,,,,,,,,,,
Mommy's Little Gamers,Kelsier#7390,yes,Anti Clown Association,Storm Division,3,Storm Division,"WHMasonBlaze, WHWearyDay, Roger",Very Competitive,Storm Division,,ccl,,west,6,26,M6177,M7140,M3332,M3392,M5161,"M6177, M7140, M3332, M3392, M5161, U0",3277.5, , , ,"3387, 3248, 3239, 3236, 3211, 3210","26, 26, 26, 26, 26, 0",new team,,,,,,,,,,
LosPollosHermanos,prepas,no,,,,,,Very Competitive,,,Yes SA highest level,no,either,9,19.25,M1213,M2590,D1,UR,UR,"M1213, M2590, D1, UR, UR, UR, UR, UR, UR",3033.5, , , ,"3051, 3042, 3042, 2999, 2991, 2991, 2957, 2951, 2938","26, 26, 25, 0, 0, 0, 0, 0, 0",new team,,,,,,,,,,
