team,captain,last_season,old_team,old_division,returningPlayers,returningPlayersDiv,newPlayers,compLevel,divisionPlacement,priorPlacement,otherLeagues,otherInfo,coast,player_count,avg_rank_top_four,rank_1,rank_2,rank_3,rank_4,rank_5,all_ranks,avg_mmr_top_four,max_mmr,mean_mmr,min_mmr,all_mmr,all_level,season_11_div,wins,losses,points,dominations,matchesPlayed
Phoenix Rising Onyx,S3XPANDA99#1955,yes,Phoenix Rising Emerald,B West,5,B West,Northerntouch and Rain,Balance winning with fun,B East,Middle of the road B team,"Nexomania, middle of the pack in the Plat/Diamond league","Please don't rely on the previous performances listed for this specific team, it is an entirely different group of players minus Rain who will not playing much if at all",east,7,23.25,D2,D3,D3,D3,D5,"D2, D3, D3, D3, D5, P2, P3",2817.75,2850,2765,2662,"2850, 2840, 2815, 2766, 2721, 2701, 2662","24, 23, 23, 23, 21, 19, 18",b-southeast,20,7,26,6,11
Puns Upon a Time,Lulu#6843,yes,Puns Upon a Time,D west,5,D west,ModusTrollen,Balance winning with fun,C,Clouded Minds was a big misplace. They keep changing their roster to stay in div D so they can dominate it repeatedly. feelsbad. Otherwise felt good. ,Currently Nexomania Wednesday early,,west,6,17,P3,P3,P5,P5,G3,"P3, P3, P5, P5, G3, G5",2703,2713,2672.5,2551,"2713, 2711, 2707, 2681, 2672, 2551","18, 18, 16, 16, 13, 11",d-west,15,10,20,5,11
The Nine Avatara,Asmodian#3933,yes,The Nine Avatara,E East ,5,E East ,Homer (silver 4),Balance winning with fun,D,It was great. We we’re definitely a E level team to start the season ,As a team no. Individuals have competed in Nexomania ,We won E East playoffs last season with essentially the same roster. I think D is appropriate this season ,east,6,14.75,P1,P5,G2,S2,S4,"P1, P5, G2, S2, S4, S4",2699,2768,2590.5,2282,"2768, 2762, 2732, 2534, 2465, 2282","20, 16, 14, 9, 7, 7",e-east,18,6,25,7,11
Protectors of Aiur,urdersterderner#2772,yes,Protectors of Aiur,C east,"Four of our players are from PoA, and we're adding two new players from other teams.","Four of us were in Div C last season, one of us was in B, and one of us was in D",all of our players played in NGS season 11,Very Competitive,"We struggled in Div C, so maybe we belong in Div D, but we think we've improved our roster and may be able to give Div C a better shot. We are a little discouraged from missing the playoffs two seasons in a row in Div C though.","We really felt like we were placed well, and we competed closely in Div C. None of the numbers seemed to work out for us, so maybe we could have been in D. We asked for C though, so we're not upset about our placement.","We're in XGDI and we're not looking very competetive in the invitational, but there are a lot of Div B teams in there, and we're working out our new roster.",,east,6,17.5,P1,P3,P3,G2,G4,"P1, P3, P3, G2, G4, G5",2732.75,2808,2710.8333333333335,2661,"2808, 2733, 2706, 2684, 2673, 2661","20, 18, 18, 14, 12, 11",c-east,8,19,9,1,11
Baby Makers,Papertankz#0107,yes,Baby Makers,Heroic,5,Heroic,none,Balance winning with fun,Nexus,I felt we were a little outclassed in Heroic last season.  ,,,east,5,26,M700,M300,M2096,M2580,D1,"M700, M300, M2096, M2580, D1",2947.75,3065,2929,2854,"3065, 2924, 2903, 2899, 2854","26, 26, 26, 26, 25",heroic,17,8,25,8,12
Rise N' Grind,Aerus #2390,yes,Rise N' Grind,D East,7,D East,0,Balance winning with fun,"Given the same skill levels of the divisions, D",Great. I think we were placed where we should have been,HL league for 3 or 4 seasons,,east,7,18,D4,P3,P5,P5,S3,"D4, P3, P5, P5, S3, S4, S5",2743,2775,2620.4285714285716,2412,"2775, 2767, 2731, 2699, 2490, 2469, 2412","22, 18, 16, 16, 8, 7, 6",d-east,17,10,21,4,11
Team Banshee,mbb424#5505,no,,,,,,Balance winning with fun,,,Nexomania around Div C level. Battle of the consolations. Have beat some div C teams and lost to Div B teams. I think Div c would be best.,,east,5,19.5,D3,D5,D5,G3,G3,"D3, D5, D5, G3, G3",2776,2851,2750,2646,"2851, 2761, 2751, 2741, 2646","23, 21, 21, 13, 13",c-west,0,22,0,0,11
BeefBois,RootBeerGuy #8159,yes,Beef Bois,Div A,3,Div A,Lox/Hart,Balance winning with fun,Nexus/Div A,"Well, We did decent in Div A",Prior Ngs,,west,6,26,M1374,M2785,M2002,M160,M443,"M1374, M2785, M2002, M160, M443, D3",2885,2962,2856.5,2790,"2962, 2926, 2836, 2816, 2809, 2790","26, 26, 26, 26, 26, 23",a-east,17,8,22,5,10
Strange Team Comp,Brickster#7896,yes,Strange Team Comp,B South East (East coast champs!),4,B,"EmpressSaena#1628 (Masters), Michaelan#1542 (Added mid season NGS11)",Very Competitive,"Div A; Given that we won both B-east coast divisions NGS11, and the individual improvement of most of our players, I strongly think we belong in Div A.","Placement last season was good. We grew a lot as a team. We struggled with our matches in the start of the season, but came back and won almost every match in the latter third, including the playoffs.",n/a,"Besides the roster changes brining in stronger players, several of our players have made large jumps in individual rank. Jacoshlu and Jeff both have accounts in masters this season. We expect our main lineup for NGS12 to have 2 masters players, 2 diamonds, and one high plat.",east,7,24.5,M163,M2199,D3,D3,D3,"M163, M2199, D3, D3, D3, D5, D5",2906.5,2975,2856,2778,"2975, 2970, 2853, 2828, 2798, 2790, 2778","26, 26, 23, 23, 23, 21, 21",b-southeast,15,11,20,5,11
Ana Maniacs,SirWatsonII#7732,yes,Ana Maniacs,C East,2,C,"Kankill, VolcanicDog",Balance winning with fun,B,Placement was spot on. We barely missed playoffs in C. It was our own fault. ,We won Middle Tourney of NGS Summer Tourney,We beat the top Div C teams in the NGS summer tourney. ,west,6,22.5,D1,D4,D4,D5,P1,"D1, D4, D4, D5, P1, P4",2826.5,2947,2778.3333333333335,2676,"2947, 2832, 2772, 2755, 2688, 2676","25, 22, 22, 21, 20, 17",c-east,8,16,11,3,11
Bull Moose Party,ToastMonstur#4133,yes,Bull Moose Party,Division E West,5,Division E West,Spark,Very Competitive,Div D,Okay and poor. 1 team was misplaced and another had a smurf carrying the team.,Yes and extremely competitive,,either,9,13.75,P4,G1,G4,G5,S1,"P4, G1, G4, G5, S1, S3, S3, B2, B3",2672,2704,2598.6666666666665,2401,"2704, 2678, 2658, 2648, 2605, 2591, 2584, 2519, 2401","17, 15, 12, 11, 10, 8, 8, 4, 3",e-west,16,12,21,5,12
Dark Allegiance,MAFIA#8566,yes,Dark Allegiance,Div A,2,Div nexus,Master +,Very Competitive,Div nexus or heroic,very nice!,no,no,east,9,26.5,GM,GM,M2383,M55,M273,"GM, GM, M2383, M55, M273, M530, D2, D3, D4",3000.25,3093,2931.5555555555557,2841,"3093, 3056, 2926, 2926, 2915, 2893, 2891, 2843, 2841","27, 27, 26, 26, 26, 26, 24, 23, 22",a-east,9,14,11,2,10
Running Wild,Cairu#5340,yes,Running Wild,Div A,4,Div A,c10vurhd1 and ellixya are new,Balance winning with fun,"Div A, maybe nexus ",Unfortunately we had a lot of team drama / quitters so it wasn't the best experience. This season our group is great and we look forward to playing all season :),No,N/A,east,6,26.25,GM,M1717,M661,M1475,D1,"GM, M1717, M661, M1475, D1, G2",2927.75,2951,2861.8333333333335,2578,"2951, 2931, 2930, 2899, 2882, 2578","27, 26, 26, 26, 25, 14",a-east,0,20,0,0,10
Phoenix Rising Topaz,,yes,Phoenix Rising Topaz,B,2,B,4,Balance winning with fun,D,Too high,no,no,either,5,14.25,D2,G2,G5,S3,B2,"D2, G2, G5, S3, B2",2653,2816,2625.4,2515,"2816, 2650, 2620, 2526, 2515","24, 14, 11, 8, 4",b-southeast,10,15,13,3,11
Council of Mages,Waffle |CoM| #4866,no,,,,,,Very Competitive,,,"NGS, Nexomania","Wide range of skill levels, silver - Plat",east,5,16.25,D4,P2,G3,G5,B1,"D4, P2, G3, G5, B1",2714.5,2834,2678,2532,"2834, 2765, 2647, 2612, 2532","22, 19, 13, 11, 5",new team,,,,,
Icecrown Citadel Knights,TheLichQueen ✨#9302,yes,Icecrown Citadel Knights,Div. D East,"Shinboku, CreditClown, Wade2Go",Div. D East and West,,Balance winning with fun,Div. E,,,,east,7,14,P5,P5,G4,G4,G5,"P5, P5, G4, G4, G5, S1, S2",2664,2723,2627.285714285714,2567,"2723, 2660, 2647, 2626, 2594, 2574, 2567","16, 16, 12, 12, 11, 10, 9",d-east,4,22,4,0,11
Mnaval,TheOnlyNavii#4819,yes,MNAVAL,Div A West,6,Div A West,N/A,Very Competitive,Div A West or Nexus,Good,Summer NGS event: somewhat competitive ,3 masters + 3 plats,west,6,25,GM,M820,M3692,D5,P2,"GM, M820, M3692, D5, P2, P4",2911.75,3015,2830.1666666666665,2639,"3015, 2938, 2926, 2768, 2695, 2639","27, 26, 26, 21, 19, 17",a-west,13,17,16,3,12
Nerd Herders,Arco#1165,yes,Mosley and the Arconauts,Div E west,5,Div E,Rhiannon,Balance winning with fun,Div E west,"All in all i'd say you guys did a bang up job. More strict qualifications to play in NGS would probably go along way to make better games, as the outlyer teams were somthing else.",No,Rhiannon will be acting as a sub. the main roster will still be the same.,west,6,15.75,D4,P5,G3,G4,S3,"D4, P5, G3, G4, S3, B2",1975,2740,2135.1666666666665,2451,", 2740, 2613, 2547, 2460, 2451","22, 16, 13, 12, 8, 4",new team,,,,,
Macro Machines,RATZEN#8930,yes,Macro Machines,E East,6,E East,none,Less competitive more for fun,E,We were seeded correctly,none,,west,7,14.25,P3,P4,G4,S1,S4,"P3, P4, G4, S1, S4, S5, S5",2615,2760,2529.285714285714,2273,"2760, 2610, 2585, 2505, 2493, 2479, 2273","18, 17, 12, 10, 7, 6, 6",e-east,16,12,19,3,11
Icecrown Citadel Queens,Jenn1277#4945,yes,Icecrown Citadel Queens,E EST,7,E Est,"Duudettes, Sailorskye",Balance winning with fun,E EST,we had so much fun playing our game and we learn a lot,as split we played in nexomania,,either,9,17.75,D5,P1,P3,G4,G5,"D5, P1, P3, G4, G5, G5, S2, S2, S3",2654,2689,2574.777777777778,2392,"2689, 2671, 2649, 2607, 2603, 2578, 2492, 2492, 2392","21, 20, 18, 12, 11, 11, 9, 9, 8",e-east,10,17,12,2,11
CM After Dark,Tiger#1970,yes,CM After Dark,C,3,C,"DthPunish3r#1315, IceX#1230",Balance winning with fun,Div C,Perfect,Yes.  XGDI.  Same level.,No,west,5,21.75,D3,D4,D5,D5,P1,"D3, D4, D5, D5, P1",2799.75,2855,2780,2701,"2855, 2820, 2770, 2754, 2701","23, 22, 21, 21, 20",c-west,14,11,18,4,11
DeepFriedMingBalls,CaptainHen#0091,yes,Deep Fried Ming Balls,E,7,E,Ecniloiv,Balance winning with fun,D,We were misplaced in Div E. We've scrimmed consistently well with Div D teams but have been absolutely smashed into the ground like tent pegs when playing against Div C teams.,Only NGS S11 and NGS Summer Event in which we won both our divisions. ,,west,8,13.75,G1,G2,G3,G3,G4,"G1, G2, G3, G3, G4, G4, G5, S3",2669.25,2751,2603.625,2504,"2751, 2670, 2645, 2611, 2580, 2561, 2507, 2504","15, 14, 13, 13, 12, 12, 11, 8",e-west,22,3,32,10,12
Phoenix Rising Sapphire,ThisIsCovy#1925,yes,Phoenix Rising Sapphire,Division E East,3,Division E East,"KKzie#1863, Elderrob#1860, Eldion#11111 ",Balance winning with fun,Division E East,I think it was a fun and competitive experience,Nexomania. We are looking to be top of our small 4 team group.,,east,7,11,G1,G4,S2,S3,S4,"G1, G4, S2, S3, S4, S4, B4",2518.5,2553,2492.4285714285716,2457,"2553, 2526, 2516, 2479, 2458, 2458, 2457","15, 12, 9, 8, 7, 7, 2",e-east,11,15,14,3,11
Liquid metal,pad0#7456,yes,Liquid Metal,E West,6,E West,0,Balance winning with fun,E West,I don't believe DeepFriedMingBalls belonged in our division.  Most of their games were blowouts.  Possibly largely because of SilverAero.???.,No,No,east,6,12.25,P5,G4,G4,S2,S4,"P5, G4, G4, S2, S4, S4",2626,2652,2582.8333333333335,2474,"2652, 2652, 2643, 2557, 2519, 2474","16, 12, 12, 9, 7, 7",e-west,12,16,15,3,12
BG: Johanna Means Family,Jinxeekatt#7952,yes,BG: 40 Seconds to Feed,B SE,7,B SE B NE,,Less competitive more for fun,B East,Pretty solid. It felt like we could win or lose,,Snag and Woahno are old men who dint play the game despite their ranks ,east,8,24.25,M5430,D1,D3,D3,D5,"M5430, D1, D3, D3, D5, D5, P2, G1",2883,3045,2782.25,2567,"3045, 2859, 2830, 2798, 2792, 2744, 2623, 2567","26, 25, 23, 23, 21, 21, 19, 15",new team,,,,,
Icecrown Citadel Raiders,xerxes89#9960,yes,Icecrown citadel Raiders ,e,4,gold-plat,"zinze, moonstar",Balance winning with fun,c,very good!,,,east,7,16.5,P3,P4,P5,G1,G1,"P3, P4, P5, G1, G1, G1, G2",2756.25,2767,2708.4285714285716,2608,"2767, 2761, 2749, 2748, 2708, 2618, 2608","18, 17, 16, 15, 15, 15, 14",e-east,20,2,30,10,11
Brickhouse,Dizzywingman#3968,yes,Brickhouse,D East ,5,D East,Dovetale,Balance winning with fun,D East,"I think we were highly competitive, but our 2 best and highest rated team members are not playing with us this season. ",No,Just that our 2 best and highest rated team members are not playing with us this season. ,east,6,15.75,P4,P4,G1,G2,G3,"P4, P4, G1, G2, G3, S2",2649.25,2710,2584.6666666666665,2391,"2710, 2703, 2600, 2584, 2520, 2391","17, 17, 15, 14, 13, 9",d-east,21,4,29,8,11
I JUST ENJOY BREAD MAN,MundaneZebra#0706,yes,I JUST ENJOY BREAD MAN,Nexus,5,Nexus,,Less competitive more for fun,Nexus,"I thought our placement was fair, and the Nexus division was a very competitive division.","Nexomania in ""Kill Em Dead"" division",,east,5,26.25,GM,M4208,M3007,M1582,D2,"GM, M4208, M3007, M1582, D2",2965,3037,2935.8,2819,"3037, 3015, 2921, 2887, 2819","27, 26, 26, 26, 24",nexus,16,7,20,4,9
ReGen Rebel,taco#7106,yes,ReGen Rebel,E-East,6,all E-East,Anaressa,Balance winning with fun,E-East,"We felt middle of the road in our division, though most teams that beat us went out of their way to tell me we were their hardest win","Nexomania, other Div E teams. RG scrim club, Div E and D teams. about what we expect, still struggling with new style of play",Hi Mongoose! <3,east,7,16.75,P3,P4,P5,P5,G2,"P3, P4, P5, P5, G2, G5, B2",2675.75,2734,2598.8571428571427,2389,"2734, 2683, 2672, 2614, 2574, 2526, 2389","18, 17, 16, 16, 14, 11, 4",e-east,14,13,17,3,11
Wait Till 10,Ronin#1675,yes,Wait Till 10,Div D,5,D,,Less competitive more for fun,Div D East,"accurate, but needed more practice",no,,east,6,19,D5,D5,P3,P5,P5,"D5, D5, P3, P5, P5, G2",2728,2808,2699.8333333333335,2619,"2808, 2729, 2695, 2680, 2668, 2619","21, 21, 18, 16, 16, 14",d-east,13,14,15,2,11
US Army Esports,Simeon#5356,yes,US Army Esports,C East,5,C East,EasyK,Balance winning with fun,Div B,I think it was a good placement and our hard work showed,Heroes Lounge before it shut down for NA. Averaged out to Div 3-ish. Hard to say as we rotated roster a lot,n/a,either,6,20.25,M701,P1,P3,P4,G1,"M701, P1, P3, P4, G1, G2",2760.5,2879,2711.8333333333335,2598,"2879, 2847, 2673, 2643, 2631, 2598","26, 20, 18, 17, 15, 14",c-east,17,12,20,3,11
Vendetta,gogsnam#2254,yes,Vendetta,Nexus,All,Nexus,,Balance winning with fun,Heroic/Nexus,,"Yes, different tournaments",,east,8,26,M2480,M3404,M3549,M39,M1362,"M2480, M3404, M3549, M39, M1362, D1, D3, D4",2968.75,3000,2896.75,2761,"3000, 2978, 2976, 2921, 2896, 2851, 2791, 2761","26, 26, 26, 26, 26, 25, 23, 22",nexus,12,9,16,4,9
30 Seconds to Mosh,borntoshine#5141,yes,Souls in Slowmo,E,7,E & D,Knivers (sub only) and Leinad,Balance winning with fun,E,We were the bottom of Div E last season so it felt like a bit of a struggle,"Nexomania - not that competitive, more chaotic than anything. Thanks for all you do, Placement Committee...it makes a huge difference.",,east,9,12.5,G2,G3,G4,G5,S1,"G2, G3, G4, G5, S1, S2, S3, B1, B2",2700.75,2813,2583.222222222222,2361,"2813, 2692, 2655, 2643, 2592, 2579, 2549, 2365, 2361","14, 13, 12, 11, 10, 9, 8, 5, 4",e-east,4,20,5,1,11
Maximum Thrust,Neone #2123,yes,Maximum Thrust,Div D West,7,Div D,LyingPastry (sub),Balance winning with fun,Div D,"Generally had great games. The top 2 teams were clearly much better, the bottom teams clearly much worse.",No,"We made a change to have designated ""main team"" and ""sub"" roles so we can avoid roster swaps mid-series for the sake of fairness. Hopefully this will keep us more consistent through playoffs.",west,8,15.75,P4,P5,G1,G1,G1,"P4, P5, G1, G1, G1, G2, G3, G5",2707.75,2730,2659.25,2575,"2730, 2725, 2694, 2682, 2637, 2627, 2604, 2575","17, 16, 15, 15, 15, 14, 13, 11",d-west,17,7,24,7,11
Wood League Express,Captain Picard#1573,yes,Wood League Express,E West,3,E,2,Balance winning with fun,"Division E West. While last season we were able to play in E west competitively, we did not get the traction we believe that we need to move up to d. At least maybe not til next season. ",Division E West,Regen Rebel Scrim Club. Good so far. ,Made E West playoffs,west,6,18.75,D4,P1,P3,G1,S3,"D4, P1, P3, G1, S3, U0",2666,2708,2623.3333333333335,2525,"2708, 2687, 2685, 2584, 2551, 2525","22, 20, 18, 15, 8, 0",e-west,13,15,17,4,12
Private Potato,themonet#9251,yes,Private Potato,Division D West,5,D West,"Dr. Swole, SpaceGoat",Less competitive more for fun,Division E,"We felt VERY outclassed in division D. We're just some friends that enjoy playing together, and like the idea of a slightly more competitive tournament. But we weren't even in the same ballpark as our competitors. We certainly didn't win a single map. But I also don't even think we ever made it to level 20. I hope there's a place for people like us in NGS because I think it's an awesome organization. Based on our experience last season, I don't think it's division D. ",Only S11 NGS.,We're QM scrubs mostly. ;),west,8,15.5,D2,G1,G4,G5,S3,"D2, G1, G4, G5, S3, B2, U0, U0",2672,2845,2582.875,2419,"2845, 2633, 2605, 2605, 2557, 2556, 2443, 2419","24, 15, 12, 11, 8, 4, 0, 0",d-west,0,22,0,0,11
Phoenix Rising Zircon,JackTaormino(Storm)#2501,yes,Phoenix Rising Zircon,Nexus,4,Nexus,Larkin,Very Competitive,Nexus,Good placement,None,Larkin is an EU player,east,5,25.75,M2662,M58,M404,D1,D4,"M2662, M58, M404, D1, D4",2904.75,2989,2878.2,2772,"2989, 2951, 2870, 2809, 2772","26, 26, 26, 25, 22",nexus,9,12,11,2,9
Currently Chasing Samuro,derivative#2626,yes,Currently Chasing Samuro,B SouthEast,1/3?,1 player (not including myself) on this team from last season. 2 players on Div A teams last season,2/4?,Balance winning with fun,B,"I think we were highly overplaced into Div B last season. We were Div C at best. This season however I do think we actually could be B. Maybe low Div A, but I think we will struggle with that. Not as badly as we struggled last season, though.",No,We formed within the past two-ish weeks.,east,6,24.5,M90,D1,D2,D3,P1,"M90, D1, D2, D3, P1, G2",2175,2971,2351.5,2679,", 2971, 2868, 2861, 2730, 2679","26, 25, 24, 23, 20, 14",b-southeast,6,17,8,2,11
210 Blechman Street,Asterix#3877,yes,210 Blechman street,C West,5,C West,Arta#11176,Less competitive more for fun,Lowest possible,Lost every map,None,None,west,6,11.75,G3,G3,G4,S2,S3,"G3, G3, G4, S2, S3, S3",2591.25,2648,2540.6666666666665,2429,"2648, 2630, 2583, 2504, 2450, 2429","13, 13, 12, 9, 8, 8",c-west,2,20,3,1,11
Tar Pit Tipplers,Halstorm#6152,yes,Tar Pit Tipplers,E East,All,E East,None,Less competitive more for fun,E East,fair,no,no,west,6,11.25,G1,G3,S1,S4,B1,"G1, G3, S1, S4, B1, B1",2623.75,2680,2568.1666666666665,2432,"2680, 2660, 2636, 2519, 2482, 2432","15, 13, 10, 7, 5, 5",e-east,12,14,16,4,11
Lowered Expectations,Malfrex#0177,yes,Lowered Expectations,DIv D West,7,All Div D West,Kid_Canuck_2293,Less competitive more for fun,DIv  E,"The top 2 teams of Div D West greatly outplayed the rest of the field (CM/TRSG Knights). The next 4 teams easily defeated us, it wasn't as difficult.  2 teams pulled out before we could play them, likely resulting in higher placement than we would have had, and the remaining 3 teams were similar in skill to us. ",NGS Summer Tournament; we got knocked out after 2 loses.,"We were hoping for a more casual, mildly competitive placement, which we didn't feel was the case being placed in Div D.  We have also scrimmed against  Div E teams and felt those games were more evenly matched, with lots of back and forth in the flow of the games. The team has stated they wouldn't want commit to the season unless we were moved down to Div E or the upper half of Div D were moved up.  We are all older players with limited time to play, hence the full roster of players to field season games.",west,9,15.75,P3,P4,G1,G3,G3,"P3, P4, G1, G3, G3, G5, G5, G5, S4",2685,2717,2612.8888888888887,2389,"2717, 2707, 2685, 2631, 2627, 2623, 2570, 2567, 2389","18, 17, 15, 13, 13, 11, 11, 11, 7",d-west,9,14,13,4,11
Cat Daddies,Shoopufff#7591,yes,Cat Daddies,Division B west,All,Division B west,None,Balance winning with fun,Division B west,Placement seemed good and accurate,No,,east,6,25,M1214,D1,D1,D2,D2,"M1214, D1, D1, D2, D2, P1",2808.75,2862,2738.5,2595,"2862, 2797, 2793, 2783, 2601, 2595","26, 25, 25, 24, 24, 20",b-west,20,1,29,9,10
Yellow Owls,gnals12#8891,yes,Yellow Owls,B,5,B,1,Balance winning with fun,B,Tough,No,No,east,6,21,M2150,D5,P1,P4,B1,"M2150, D5, P1, P4, B1, U0",2817,3085,2755.5,2602,"3085, 2795, 2724, 2664, 2663, 2602","26, 21, 20, 17, 5, 0",b-northeast,22,1,32,10,11
Business of Ferrets,SpecialChai#3238,yes,"Clouded Minds After Dark, and prior to that Annie Oak League, left that team and started Business of Ferrets",C,VinceNoir and SheepishLion,C,Imabirb and Dazed,Balance winning with fun,"C or D, depending on how the average MMRS shake out.","Placed Div C, was on the lower-middle of the pack, but seemed like proper placement",New team,"Three of our players have been in Div C for the past few seasons, one is lower ranked and new to competitive, and one had limited compeditive exp and now is a returning player coming off a six month break. ",east,5,19.5,D4,D5,D5,G2,S3,"D4, D5, D5, G2, S3",2764.5,2843,2729.2,2588,"2843, 2762, 2727, 2726, 2588","22, 21, 21, 14, 8",new team,,,,,
Council of War,Inti#1275,yes,Heavy Slaps,Div C,Just me Created new team ,C,We are a new team so recently recruited ,Balance winning with fun,Div D since we are all new together,i am about average ,two other players have played in Div D ,N/A,east,6,16.25,P3,P3,P5,G3,G3,"P3, P3, P5, G3, G3, G5",2710.5,2787,2665.5,2542,"2787, 2734, 2683, 2638, 2609, 2542","18, 18, 16, 13, 13, 11",new team,,,,,
Plat Form,Gokue#1112,no,,,,,,Balance winning with fun,,,"Likely around Div B+ recently Ace, Ectar, and Wipeout have played at Div A.",Nope,west,6,25,M1,M1059,D2,D2,D4,"M1, M1059, D2, D2, D4, P1",2870.25,2951,2846.3333333333335,2777,"2951, 2871, 2836, 2823, 2820, 2777","26, 26, 24, 24, 22, 20",new team,,,,,
Phoenix Rising Moonstone,Stitch#8076,yes,PRS,E,3,E,,Very Competitive,D,,Nexomania Div D-C,We would prefer did D or C,east,6,12.75,G1,G3,G3,S1,S1,"G1, G3, G3, S1, S1, S4",2615.75,2645,2580.5,2504,"2645, 2635, 2596, 2587, 2516, 2504","15, 13, 13, 10, 10, 7",new team,,,,,
KingFishers,,no,,,,,,Balance winning with fun,,,"Yes, we played in the NGS summer event. Low level, but it was a somewhat competitive experience. One team was vastly better than us and the next team we held our own but lost all games. We followed all competition rules. ",,east,5,13.5,D4,G1,S1,S4,S5,"D4, G1, S1, S4, S5",2568,2779,2530,2378,"2779, 2611, 2495, 2387, 2378","22, 15, 10, 7, 6",new team,,,,,
Chien Chaud Steamé,TheDwarf#5359,yes,Cael'thas can't spell / Team Gobby legs / Currently Chasing Samuro,C / B,1 / 3,C / B,CneakiTurtle,Balance winning with fun,C,"I think last season's placement in Div C was good, I believe my current team would fit right in",N / A,N / A,east,6,20.5,D3,D4,P2,P3,P4,"D3, D4, P2, P3, P4, G2",2806.25,2928,2747.6666666666665,2620,"2928, 2834, 2736, 2727, 2641, 2620","23, 22, 19, 18, 17, 14",new team,,,,,
YCMYCCST5:YavapaiSwimsBack,andrade#6969,yes,icc knights,d-east,4,d-east & e-east,"sarahlynneee, kitajima, knight",Less competitive more for fun,div E or D,good spot,nexomania season 3,we are in lowest div and seem to be appropriately placed,east,8,14.5,P2,P5,G3,S1,S5,"P2, P5, G3, S1, S5, B1, B2, U0",2592.5,2644,2489.125,2082,"2644, 2612, 2572, 2542, 2520, 2514, 2427, 2082","19, 16, 13, 10, 6, 5, 4, 0",new team,,,,,
The GB's,ARock#7065,no,,,,,,Less competitive more for fun,,,"No, limited (we did summer event but that's it)",Maybe how we did in summer might help guide placement ,east,5,16.5,D4,P2,G1,S1,S5,"D4, P2, G1, S1, S5",2625.25,2847,2575,2374,"2847, 2649, 2621, 2384, 2374","22, 19, 15, 10, 6",new team,,,,,
Trash Pandas,Lupitz#6925,no,,,,,,Balance winning with fun,,,"Nexomania, lower divisions, high D, to very low C","Usually placed in Div D when i was captain of Psistorm, same guys with a few additions",west,9,20.75,D4,D4,D5,P3,P3,"D4, D4, D5, P3, P3, G1, G4, S1, S1",2784.75,2833,2684.222222222222,2574,"2833, 2790, 2766, 2750, 2679, 2605, 2585, 2576, 2574","22, 22, 21, 18, 18, 15, 12, 10, 10",new team,,,,,
Midnight,itsmetuts#5285,no,,,,,,Very Competitive,,,Yes. It was an amateur tournament,,west,5,16.75,P3,P3,P5,G1,G2,"P3, P3, P5, G1, G2",2695,2722,2681.8,2629,"2722, 2705, 2683, 2670, 2629","18, 18, 16, 15, 14",new team,,,,,
Gen.M Esports,Patienc3#4381,yes,Boosted Bonobos,Div A West,infafox,Div A,"Majesty (played in Div B last season), Yonners (have been playing but no NGS S11), IJustFizzed (been away from hots for several months, missed NGS S11), Tax1k (been away from hots for over a year, haven't played in NGS since S8)",Balance winning with fun,Div A,"I feel that my placement last season was pretty good. I understand that placing a team at the right tier against similar teams are hard. Based on my experience last season, I feel that this new team would be quite appropriate for Div A again given the circumstances (more details in the answer to the next question).","We have played in Nexomania this summer (Thu, 11pm eastern). It has been an interesting journey of learning to play together and also playing against some of our friends in the same tier.","While this team is new, it is a variation of You Are Not Alone (NGS Season 8 Div B) and Fox and His Carries (NGS Season 10 Div A). Most of us have played in Div A/B and done reasonable in Div A. Tax1k is returning to HotS after about a year of absence, and he will focus on subbing and adjusting to the current meta (heroes, talents, new maps, etc.) this season. IJustFizzed has also taken a long break (several months) after a toxic experience in hots, and is just starting to get back to playing the game. We have scrim'ed self-claimed Div A teams for tryouts and practice with mixed results. We are currently playing in Nexomania and have been getting better results than our scrims. As for the starting time, unfortunately, our team will not be able to start a match before 10pm ET (more realistically 10:15-10:30pm ET) because a couple of teammates do not get home from work until then. Given the start time constraint, we would be grateful if we could put us in a west division where we could coordinate our match dates/times easier than a east/west mixed division (like nexus div last season). Thank you for your consideration in advance.",west,6,25.25,GM,M331,D1,D3,D4,"GM, M331, D1, D3, D4, D5",2988.75,3128,2931.6666666666665,2768,"3128, 2991, 2921, 2915, 2867, 2768","27, 26, 25, 23, 22, 21",new team,,,,,
A Touch of Honey,Big Gator #9075,no,,,,,,Very Competitive,,,Some of our players have played on League of Legends amateur teams and tournaments. ,We wished to be placed in B Division alongside the Franks Furters. We want to be placed in the same division as them as all else.,east,5,17.25,D1,P3,G3,G3,G4,"D1, P3, G3, G3, G4",2651.25,2772,1630.4,-2453,"2772, 2722, 2588, 2523, -2453","25, 18, 13, 13, 12",new team,,,,,
Knights that Go Bork,Silverspy01#5617,yes,"Team TBD - just me, none of my teammates played last season",C East,"Smoke, Matloc | Tin",D | C,Icarii,Very Competitive,C,"My team last season wasn't great, but I personally think we could have done fine in our division. We just didn't practice well. Having experienced C though I think this team ","We're participating in Nexomania right now, don't really know to describe the level of skill but I think it's fairly competitive.","Me Smoke Matloc are all from Knights that Stay Bronze, div D in S10.",west,6,17,D1,P5,G2,G3,S1,"D1, P5, G2, G3, S1, U0",2741.5,2959,2637,2265,"2959, 2718, 2658, 2631, 2591, 2265","25, 16, 14, 13, 10, 0",new team,,,,,
